pl_name,pl_eqt,pl_insol,st_teff,st_rad,habitable
11 Com b,1700.0,792.57818,4060.0,1.31316,0
11 UMi b,1450.0,372.7434,5253.6,0.84,0
14 And b,1600.0,513.74032,4530.8,0.36645,0
14 Her b,2369.0,427.54252,4530.8,0.289776,0
16 Cyg B b,2677.0,505.722044,7244.6,1.4800799999999998,0
17 Sco b,2506.0,335.96392000000003,4587.2,0.600455,0
18 Del b,1250.0,169.58952,4526.0,0.21887,0
1RXS J160929.1-210524 b,1616.0,513.74032,4587.2,0.672832,0
24 Boo b,1600.0,468.74252,4530.8,0.437589,0
24 Sex b,700.0,151.06598000000002,7295.0,1.48726,0
24 Sex c,700.0,37.8432,5198.0,0.98,0
2M0437 b,1958.0,272.05940799999996,5172.0,0.943,0
2MASS J01033563-5515561 AB b,1400.0,887.5887999999999,6140.0,1.25,0
2MASS J01225093-2439505 b,600.0,21.2,3678.0,0.744,0
2MASS J02192210-3925225 b,459.0,7.3,3678.0,0.744,0
2MASS J0249-0557 c,1820.0,338.110112,4596.0,0.69,0
2MASS J03590986+2009361 b,546.0,32.2444,5766.0,1.08,0
2MASS J04414489+2301513 b,1303.0,789.0233000000001,4993.0,0.797,0
2MASS J11011926-7732383 b,2001.0,646.761,6935.0,1.364,0
2MASS J11550485-7919108 b,438.0,6.76,4405.2,0.185,0
2MASS J12073346-3932539 b,400.0,4.918000000000001,4263.4,0.185,0
2MASS J19383260+4603591 b,483.0,8.934000000000001,4388.697999999999,0.185,0
2MASS J21252752-8138278 b,340.0,3.48294,3857.4,0.185,1
2MASS J22362452+4751425 b,464.0,8.6,4070.4,0.175,0
2MASS J22501512+2325342 b,1800.0,453.43798,3689.0,0.558549,0
4 UMa b,370.0,4.339599999999999,5124.39,0.646482,1
47 UMa b,1800.0,270.9634,4526.0,0.245,0
47 UMa c,434.0,5.72,3936.6,0.388,0
47 UMa d,2600.0,328.57097999999996,4403.0,1.679694,0
51 Eri b,1898.0,435.86543199999994,5950.0,1.11,0
51 Peg b,600.0,16.1089,5075.0,0.79,0
55 Cnc B b,1657.0,420.783256,6440.0,1.37,0
55 Cnc B c,1442.0,661.1334,5675.0,1.116,0
55 Cnc b,1700.0,546.5339,5945.0,1.01,0
55 Cnc c,1952.0,228.717376,6035.0,1.21,0
55 Cnc d,1626.0,310.403512,5740.0,1.59,0
55 Cnc e,1550.0,823.7009,5440.0,1.0,0
55 Cnc f,2000.0,328.57097999999996,6090.0,1.65,0
6 Lyn b,1521.0,932.9076,5625.0,0.906,0
61 Vir b,1024.0,180.8704,5880.0,1.02,0
61 Vir c,885.0,138.8396,5939.0,1.136,0
61 Vir d,1660.0,412.65535600000004,5900.0,1.61,0
7 CMa b,1070.0,226.78652,4950.0,0.86,0
7 CMa c,850.0,99.9982,4950.0,0.86,0
70 Vir b,1330.0,704.674,6040.0,1.19,0
75 Cet b,1600.0,328.57097999999996,5590.0,1.79,0
75 Cet c,1500.0,387.148732,5900.0,1.08,0
8 UMi b,1695.0,310.403512,6740.0,1.56,0
81 Cet b,938.0,132.26,5970.0,0.79,0
91 Aqr b,1747.0,328.57097999999996,6390.0,1.65,0
AB Aur b,1567.0,310.403512,6730.0,1.52,0
AB Pic b,1074.0,203.9517,6190.0,1.17,0
AF Lep b,1438.0,786.2949,6100.0,1.186,0
AT2021ueyL b,1017.0,175.06900000000002,6090.0,1.025,0
AU Mic b,1756.0,349.43764,5275.0,0.83,0
AU Mic c,870.0,162.17361999999997,5080.0,0.77,0
AU Mic d,420.0,5.6664,5625.0,0.96,0
AU Mic e,2200.0,45.54552,4371.0,0.27,0
BD+03 2562 b,877.0,156.9161,6196.0,1.26,0
BD+05 4868 A b,1239.0,862.2967999999998,6196.0,1.26,0
BD+14 4559 b,1632.0,337.241756,6196.0,1.26,0
BD+15 2375 b,1314.0,337.241756,6196.0,1.26,0
BD+15 2940 b,1000.0,190.12492,6500.0,1.78,0
BD+20 2457 b,854.0,107.951,5138.0,0.91,0
BD+20 2457 c,850.0,115.8276,5428.0,0.964,0
BD+20 274 b,2038.0,176.4554,5679.0,0.98,0
BD+20 594 b,960.6,172.9288,5502.7,0.83,0
BD+37 3172 b,431.0,3.5,4057.0,0.58,0
BD+42 2315 b,817.0,101.0,6069.0,1.39,0
BD+45 564 b,1149.0,245.95846,5171.0,0.8,0
BD+48 738 b,866.0,115.6858,5171.0,0.8,0
BD+48 740 b,756.0,79.10999999999999,6004.0,0.98,0
BD+49 828 b,658.0,54.0146,6004.0,0.98,0
BD+55 362 b,536.0,15.9202,4684.0,0.673,0
BD+60 1417 b,316.0,3.387,4684.0,0.673,1
BD+63 1405 b,2299.0,184.426944,5578.0,0.99,0
BD-06 1339 b,804.0,70.0,5578.0,0.99,0
BD-06 1339 c,932.0,103.88896,3782.0,0.32,0
BD-08 2823 b,804.0,69.7,5868.0,0.999,0
BD-08 2823 c,1401.0,642.0,6202.0,1.586,0
BD-10 3166 b,183.0,0.19,4898.0,0.26352359999999997,0
BD-11 4672 b,1616.0,199.2274,5430.0,1.71,0
BD-11 4672 c,990.0,160.0,5430.0,1.71,0
BD-13 2130 b,752.0,53.0,5430.0,1.71,0
BD-14 3065 b,2375.0,427.54252,4587.2,0.5002204000000001,0
BD-17 63 b,453.6,7.06,4428.6,0.170718,0
BD-210397 b,55.9,0.0016,4272.8,0.170718,0
BD-210397 c,1670.0,513.74032,4587.2,0.522432,0
BEBOP-3 b,322.3,1.8,3853.4,0.153162,1
BEBOP-4 AB b,587.0,20.5,4260.8,0.305,0
Barnard b,387.0,3.87,4016.6,0.305,0
Barnard c,534.0,13.57,4471.8,0.177,0
Barnard d,440.6,6.27,4047.8,0.3026,0
Barnard e,230.9,0.67,4541.2,0.42245999999999995,0
CD Cet b,181.7,0.257,4660.6,0.7225999999999999,0
CD-35 2722 b,583.8,19.3,4291.2,0.2211,0
CFBDSIR J145829+101343 b,300.0,1.83152,3853.4,0.2105,1
CFHTWIR-Oph 98 b,567.0,17.2,4454.8,0.2162,0
CHXR 73 b,1089.0,233.0,4638.8,0.391,0
CI Tau c,150.0,0.7304999999999999,3839.0,0.245012,0
COCONUTS-2 b,422.0,10.8612,4640.0,0.695,0
CT Cha b,550.0,15.238,3607.0,0.38,0
CoRoT-1 b,758.0,107.262,4350.780000000001,0.4314,0
CoRoT-10 b,336.0,2.37,4376.4,0.36,1
CoRoT-11 b,216.0,0.404,4276.0,0.36,0
CoRoT-12 b,350.0,3.399,5540.0,0.9,1
CoRoT-13 b,723.0,45.4,3707.0,0.516,0
CoRoT-14 b,407.2,4.58,3707.0,0.516,0
CoRoT-16 b,391.0,6.2082,4014.0,0.58,0
CoRoT-17 b,629.0,13.8,3770.0,0.5066,0
CoRoT-18 b,593.5,29.6584,4176.8,0.547,0
CoRoT-19 b,773.0,59.4,4353.4800000000005,0.364,0
CoRoT-2 b,329.1,1.95,3977.6,0.364,1
CoRoT-20 b,518.0,12.6,3965.0,0.337,0
CoRoT-20 c,401.2,4.45,4447.2,0.337,0
CoRoT-21 b,219.6,0.38,4250.6,0.337,0
CoRoT-22 b,1365.0,579.0,4530.8,0.458,0
CoRoT-23 b,568.0,17.3,4544.4,0.32,0
CoRoT-24 b,317.0,1.68,3853.4,0.32,1
CoRoT-24 c,485.0,9.21,4365.697999999999,0.426,0
CoRoT-25 b,590.0,34.7062,3867.0,0.61,0
CoRoT-26 b,348.0,2.45,4376.4,0.19734,1
CoRoT-27 b,349.83,3.13,3719.0,0.3685,1
CoRoT-28 b,308.6,4.224600000000001,4120.0,0.68,1
CoRoT-29 b,124.7,1.8906,4120.0,0.68,0
CoRoT-3 b,686.0,29.4322,4205.6,0.455,0
CoRoT-30 b,696.3,39.2,4147.6,0.3243,0
CoRoT-31 b,510.0,13.364,6234.0,1.26,0
CoRoT-32 b,202.0,0.28,3728.0,0.5,0
CoRoT-35 b,451.0,9.9,3641.0,0.529,0
CoRoT-36 b,290.5,1.692,3641.0,0.529,1
CoRoT-4 b,401.0,5.31204,3837.0,0.56,0
CoRoT-5 b,611.0,23.32,3799.0,0.52226,0
CoRoT-6 b,829.0,79.0,3913.0,0.56,0
CoRoT-7 b,940.0,130.0,4473.2,0.4144,0
CoRoT-7 c,490.0,9.5,4680.2,0.4144,0
CoRoT-7 d,468.0,7.95,3688.0,0.4712,0
CoRoT-8 b,352.0,2.56,3688.0,0.4712,1
CoRoT-9 b,453.04,11.2016,3836.0,0.57,0
DE CVn b,1035.01,318.0,4236.0,0.58,0
DENIS-P J082303.1-491201 b,715.94,73.0,4236.0,0.58,0
DH Tau b,675.0,34.9,4236.0,0.58,0
DMPP-1 b,2300.0,310.403512,7000.0,1.56,0
DMPP-1 c,2650.0,37.6832,4360.0,0.6394,0
DMPP-1 d,2300.0,349.43764,4200.0,0.90484,0
